Link,Sale Price,PDP Price,Result
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6138&color=6140,13.51,13.51,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6138&color=6141,13.51,13.51,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6138&color=6142,13.51,13.51,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6138&color=6143,13.51,13.51,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6655,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6656,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6657,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6658,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6659,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6660,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6661,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6662,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6663,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6664,50.66,50.66,Pass
https://betaca.alphaprints.in/custom-pillow-covers-square-p?fabric=6654&color=6665,50.66,50.66,Pass
https://betaca.alphaprints.in/lumber-tarp-single-flap-p,311.91,311.91,Pass
https://betaca.alphaprints.in/lumber-tarp-single-flap-p?fabric=115&color=85,311.91,311.91,Pass
https://betaca.alphaprints.in/lumber-tarp-single-flap-p?fabric=115&color=100,311.91,311.91,Pass
https://betaca.alphaprints.in/lumber-tarp-single-flap-p?fabric=115&color=118,311.91,311.91,Pass
https://betaca.alphaprints.in/lumber-tarp-single-flap-p?fabric=115&color=119,311.91,311.91,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p,531.50,892.15,Fail
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6144&color=6145,892.15,892.15,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6144&color=6146,892.15,892.15,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6361&color=6365,531.50,531.50,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6361&color=6368,531.50,531.50,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6144&color=6378,892.15,892.15,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6695&color=6698,664.38,664.38,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6695&color=6701,664.38,664.38,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6695&color=6704,664.38,664.38,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6806&color=6809,538.74,538.74,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6806&color=6812,538.74,538.74,Pass
https://betaca.alphaprints.in/vehicle-covers/car-covers/limo-car-covers-p?fabric=6806&color=6815,538.74,538.74,Pass
